Task,Priority,Status,status,timeEffort,complexity,dependencies,Created time
see Callie/Kevin,"important, urgent",done,,,,,"February 11, 2025 12:57 PM"
see Niki,"important, urgent",done,,,,,"February 11, 2025 12:46 PM"
see Sean/Laura,,onHold,,,,,"February 11, 2025 12:47 PM"
see Elan,"important, urgent",onHold,,,,,"February 11, 2025 12:46 PM"
see Brian Smith,"important, urgent",done,,,,,"February 11, 2025 12:47 PM"
see Luis,"important, urgent",notStarted,,,,,"February 11, 2025 12:47 PM"
see Jack/Drew,"important, urgent",notStarted,,,,,"February 11, 2025 12:47 PM"
see Joanna,"important, urgent",notStarted,,,,,"February 11, 2025 12:47 PM"
see Austin,,done,,,,,"February 11, 2025 12:49 PM"
see Scott,"important, urgent",done,,,,,"February 11, 2025 12:46 PM"
see David/Sarah,"important, urgent",done,,,,,"February 11, 2025 12:48 PM"
see Mickey,,done,,,,,"February 11, 2025 12:49 PM"
see Kelci HF,,done,,,,,"February 11, 2025 12:49 PM"
see Fitch,"important, urgent",notStarted,,,,,"February 11, 2025 12:50 PM"
see Ashley G,,notStarted,,,,,"February 11, 2025 12:50 PM"
see Jenna R,,done,,,,,"February 11, 2025 12:55 PM"
see Brian J,,notStarted,,,,,"February 11, 2025 12:57 PM"
see Joe G,,onHold,,,,,"February 11, 2025 12:58 PM"
see John/Brooke,,notStarted,,,,,"February 24, 2025 10:03 PM"
see Tamara,,notStarted,,,,,"February 24, 2025 10:04 PM"
see Aaron/Kelly/Piper,,done,,,,,"February 24, 2025 10:39 PM"
see Alex Turkey,,done,,,,,"February 24, 2025 10:40 PM"
see Jeremy,,done,,,,,"February 24, 2025 10:41 PM"
